"TEMA","COMPONENTE","PROGRAMA","META DE PRODUCTO","COMUNAS","CORREGIMIENTOS","OBSERVACIÓN","UBICACIÓN SECTOR","AÑO"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","4. corregimiento cerritos","estudios y diseños definitivos y ejecución de las obras de protección y mitigación del riesgo en el sector confamiliar , comuna villasantana (declaratoria de calamidad pública, decreto no. 0703 del 01-09-23.","sector confamiliar (villasantana","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","9. corregimiento la florida","ejecución obra para la mitigación del riesgo en el sector de las peñas, corregimiento de la florida (declaratoria de calamidad pública, decreto no. 0398 del 12-05-23 y a la declaratoria de urgencia manifiesta, decreto no. 0401 del 12-05-23.","sector de las peñas, corregimiento de la florida","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","4. corregimiento cerritos","ejecución obra para la mitigación del riesgo en el sector de acceso a la vereda el tigre corregimiento de cerritos, declaratoria de calamidad pública decreto no. 0398 del 12-05-23 y declaratoria de urgencia manifiesta decreto no. 0401 del 12-05-23.","sector de acceso a la vereda el tigre corregimiento de cerritos","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","8. comuna el rocio","13. no aplica","ejecución de la primera fase de la construcción de la obra de protección y mitigación en el sector de rocio bajo- rio consota, declaratoria de calamidad pública, decreto no. 0450 del 16-03-22 prorrogada por el decreto 1093 del 15-09-22 y a la declaratoria de urgencia manifiesta decreto no. 0451 del 16-03-22.","rio consota - rocio bajo","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","8. corregimiento la bella","ejecución obras de protección y mitigación en los sectores de la vía el chocho, declaratoria de calamidad pública, decreto no. 000883 del 08-05-24","el chocho","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","1. corregimiento altagracia","ejecución obras de protección y mitigación en los sectores de la vía altagracia, declaratoria de calamidad pública, decreto no. 000883 del 08-05-24","altagracia","2,024"
"Construcción de la Conexión Vial Alamos Pinares 340 MTS cuadrados.","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP181: Construcción del paquete de obras viales de alto impacto (3) para la movilidad de Pereira. (Solución definitiva intersección Corales, Doble Calzada Avenida de Río, Turín,y terminación fase 1 y fase 2 Avenida de los Colibríes)","17. comuna universidad","13. no aplica","construcción de la conexión vial alamos pinares 340 mts cuadrados.","alamos.","2,024"
"Construcción de vía en concreto flexible, acceso colegio Jose Antonio Galán (conexión vía Condina) de Pereira","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP181: Construcción del paquete de obras viales de alto impacto (3) para la movilidad de Pereira. (Solución definitiva intersección Corales, Doble Calzada Avenida de Río, Turín,y terminación fase 1 y fase 2 Avenida de los Colibríes)","20. no aplica","12. corregimiento tribunas","construcción de vía en concreto flexible, acceso colegio jose antonio galán (conexión vía condina) de pereira","tribunas","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","1. comuna boston","13. no aplica","cero huecos","carrera 22 calle 23 palermo","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","vivienda/tics/infra. plomeria","palacio mun","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","pintura","salon del ciudadano","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","plomero un sanitaria","sec.salud","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","plomeria, fuga de agua, lavado pintura","teatro santiago londoño","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","zona centro(parque lago- plaza bolivar)","lago-plaza de bolivar","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","construcción y adecuación reja sumidero","calle 28 entre 7 y 8","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","cambio y reparacion adoquines","carrera 8 calle 21-22","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","cambio y reparacion adoquines","carrera 9 calle 17","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","reparacion adoquineria","parque el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","reparacion adoquines andenes - pintura","zona centro plaza (plaza bolivar esquina alcaldia)","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","construcción y mantenimiento en asfalto","construcción de resaltos carrera 3 entre 27 y 28, carrera 3 entre 20 y 21 y cero huecos alta vista","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de vías en asfalto y/o fresado","carrera 5 entre calles 24 y 25; reparcheos carrera 6 ente calle 36 y 37;mantenimiento avenida 30 de agosto; mantenimiento calle 27con avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","mantenimiento calle 28 con avenida 30 de agosto; mantenimiento avenida sur sector de la calle 100 hacia la glorieta bajo la av. 30 de agosto.","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","carrera 12 entre 27 y 27 bis; resaltos carrera segunda entre calles 26 y 27, y ente 28 y 29, reparcheo en calle 29","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","carrera 8 entre clles 30 y 31 - san andresito","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","carpeta asfática obra pavimentación carrera 5 entre calles 13 y 20","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","bacheo y nivelación obra pavimentación carrera 5 entre calles 13 y 20","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","reparcheo calle 25 con carrera 7 parque el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","reparcheos calle 41 con carrera 8","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","reparcheos, nivelación y pavimentación calle 17 entre carreras 4 y 6","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","repavimentación carrera 4 entre calles 26 a 28","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","cero huecos calle 35 entre carreras 5 y 6","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","calle 17 entre carreras 17 y 17 bis","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","calle 38 entre carrera 12 y avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","renivelación calle 38 entre carrera 12 y avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","calle 40 entre carrera 12 y avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","carrera 8 entre calles 35 y 40","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","renivelación carrera 8 ente calles 35 y 40","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","calle 34 entre carreras 6 y 7 - carrera 6 entre calles 33 bis y 34 bomberos","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de vía en asfalto","calle 10 bis entre carreras 31 y 32","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de vía en asfalto","calle 22 entre calles 11 y 12 y entre calle 12 y avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de vía en asfalto","calle 23 entre calle 12 y avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","3. comuna consota","13. no aplica","mantenimiento de vía en asfalto y/o fresado","las mercedes, glorieta intersección calle 67 con calle 70","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","3. comuna consota","13. no aplica","construcción de resalto con material asfaltico","resaltos y cero huecos barrio padre valencia","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","4. comuna cuba","13. no aplica","mantenimiento de vía en asfalto","calle 66 bis, calle 67 y calle 67 bis, cuba","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","4. comuna cuba","13. no aplica","mantenimiento de vía en asfalto","renivelación calle 66 bis, calle 67 y calle 67 bis, cuba","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","4. comuna cuba","13. no aplica","mantenimiento de vía en asfalto","cero huecos cuba carrera 27 cale 73","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","4. comuna cuba","13. no aplica","mantenimiento y rehabilitación de obras y drenaje, sector 2500 lotes, contiguo a la urbanización entre verdes. comuna el oso.","2500 lotes","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","5. comuna del cafe","13. no aplica","mantenimiento de vía en asfalto","portal de llano grande, calle 67","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","5. comuna del cafe","13. no aplica","contrucción de resaltos con material asfaltico","resaltos ciudad boquía y alto de los angeles","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","10. comuna jardin","13. no aplica","construcción de resalto con material asfaltico","resalto jardín frente a escuela normal superior bachillerato","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","10. comuna jardin","13. no aplica","mantenimiento de vía en asfalto","carrera 18e avenida de las américas hasta carder sector homecenter - villas del jardín","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","10. comuna jardin","13. no aplica","mantenimiento de vía en asfalto","tramo glorieta y aproches avenida de las américas, glorieta calle 50","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","10. comuna jardin","13. no aplica","mantenimiento de vía en asfalto","tramo avenida de las américas, glorieta calle 50","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","6. comuna el oso","13. no aplica","construccion de resaltos en asfalto","resaltos en el acuario","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","6. comuna el oso","13. no aplica","construccion de resaltos en asfalto","resaltos hacienda cuba y los almendros","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","7. comuna el poblado","13. no aplica","mantenimiento de vías en asfalto y/o en fresado. 76,31 ml","puente salida calle 29 sobre río consota, sentido sur-norte, el poblado 1, puente entrada calle 29 sobre río consota, sentido sur-norte, el poblado 1, cero huecos el rocío y venecia","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","7. comuna el poblado","13. no aplica","mantenimiento de vía en asfalto","villa del prado, glorieta calle 32 carrera 31 ; resaltos en samaria carrera 33 ente calles 33a a 33d, y calles 33d y 34. - resaltos en villa del prado manzana 43","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","7. comuna el poblado","13. no aplica","construcción de resalto en material asfaltico","reparcheo villa verde, carrera 37 entre calles 33 y 34","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","8. comuna el rocio","13. no aplica","mantenimiento de vía en material asfaltico y/o fresado","reparcheo entrada el rocío por cruce vía armenia","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","8. comuna el rocio","13. no aplica","mantenimiento de vía en material asfaltico y/o fresado","pavimento el rocío entrada a buenos aires","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","9. comuna ferrocarril","13. no aplica","soldadura (instalacion pasamanos)","via plumon medio","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","11. comuna olimpica","13. no aplica","mantenimiento de vías en asfalto y/o en fresado. 510,27 ml","mantenimiento avenida 30 de agosto - mantenimiento avenida sur sector de la calle 100 hacia la glorieta bajo la av. 30 de agosto - mantenimiento avenida sur sector de la calle 102, calzada norte, frente a eds terpel mercasa - mantenimiento avenida sur sector de la calle 100 hacia la glorieta bajo la av. 30 de agosto. carril izquierdo","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","11. comuna olimpica","13. no aplica","mantenimiento de vía en asfalto","calle 83 gamma entre carrera 14 y avenida 30 de agosto, villa olímpica","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","12. comuna oriente","13. no aplica","adecuacion de terreno(apoyo contratista), asfalto(apoyo contratista)","avenida santander desde la calle 2e hasta la calle 10e kennedy","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","12. comuna oriente","13. no aplica","construccion de resaltos con material asfaltico","resaltos avenida santander - kennedy","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","12. comuna oriente","13. no aplica","construccion de resaltos con material asfaltico","resaltos carrera 10 colegio lestonac y calle 9e entre cr 10 y 10a kennedy","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","12. comuna oriente","13. no aplica","construccion de resaltos con material asfaltico","resaltos altos del otún -reparcheo","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","13. comuna perla del otun","13. no aplica","mantenimiento de vía en asfalto","calle 75 entre carreras 34a y 35a 2500 lotes","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","14. comuna rio otun","13. no aplica","apoyo escarificacion","antigua bavaria","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","14. comuna rio otun","13. no aplica","mantenimiento de vía en asfalto","avenida del rio glorieta carrera 4 antiguo carrefour;carrera sexta entre calle 10 y avenida del río, alcázares de bavaria","2,024"
