"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD","UNIDAD DE MEDIDA"
"2013 Aug 15 12:00:00 AM","54","NORTE DE SANTANDER","54720","SARDINATA","3","UNIDAD"
"2013 Aug 15 12:00:00 AM","25","CUNDINAMARCA","25862","VERGARA","2","UNIDAD"
"2013 Aug 15 12:00:00 AM","54","NORTE DE SANTANDER","54051","ARBOLEDAS","1","UNIDAD"
"2013 Aug 15 12:00:00 AM","81","ARAUCA","81065","ARAUQUITA","1","UNIDAD"
"2013 Aug 15 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","2","UNIDAD"
"2013 Aug 15 12:00:00 AM","52","NARIÑO","52473","MOSQUERA","1","UNIDAD"
"2013 Aug 15 12:00:00 AM","05","ANTIOQUIA","05585","PUERTO NARE","1","UNIDAD"
"2013 Aug 15 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2013 Aug 15 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","18","CAQUETA","18756","SOLANO","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","50","META","50450","PUERTO CONCORDIA","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","9","UNIDAD"
"2013 Aug 14 12:00:00 AM","50","META","50325","MAPIRIPAN","4","UNIDAD"
"2013 Aug 14 12:00:00 AM","05","ANTIOQUIA","05129","CALDAS","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","76","VALLE DEL CAUCA","76233","DAGUA","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","15","BOYACA","15507","OTANCHE","2","UNIDAD"
"2013 Aug 14 12:00:00 AM","17","CALDAS","17495","NORCASIA","3","UNIDAD"
"2013 Aug 14 12:00:00 AM","18","CAQUETA","18150","CARTAGENA DEL CHAIRA","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","54","NORTE DE SANTANDER","54720","SARDINATA","1","UNIDAD"
"2013 Aug 14 12:00:00 AM","99","VICHADA","99773","CUMARIBO","2","UNIDAD"
"2013 Aug 13 12:00:00 AM","95","GUAVIARE","95001","SAN JOSE DEL GUAVIARE","1","UNIDAD"
"2013 Aug 12 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","3","UNIDAD"
"2013 Aug 12 12:00:00 AM","27","CHOCO","27800","UNGUIA","2","UNIDAD"
"2013 Aug 12 12:00:00 AM","50","META","50325","MAPIRIPAN","1","UNIDAD"
"2013 Aug 11 12:00:00 AM","18","CAQUETA","18150","CARTAGENA DEL CHAIRA","1","UNIDAD"
"2013 Aug 11 12:00:00 AM","27","CHOCO","27800","UNGUIA","3","UNIDAD"
"2013 Aug 11 12:00:00 AM","19","CAUCA","19693","SAN SEBASTIAN","1","UNIDAD"
"2013 Aug 11 12:00:00 AM","19","CAUCA","19130","CAJIBIO","3","UNIDAD"
"2013 Aug 11 12:00:00 AM","54","NORTE DE SANTANDER","54720","SARDINATA","1","UNIDAD"
"2013 Aug 10 12:00:00 AM","99","VICHADA","99001","PUERTO CARREÑO","1","UNIDAD"
"2013 Aug 10 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","1","UNIDAD"
"2013 Aug 10 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","3","UNIDAD"
"2013 Aug 10 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2013 Aug 10 12:00:00 AM","95","GUAVIARE","95001","SAN JOSE DEL GUAVIARE","4","UNIDAD"
"2013 Aug 10 12:00:00 AM","50","META","50325","MAPIRIPAN","2","UNIDAD"
"2013 Aug 10 12:00:00 AM","27","CHOCO","27800","UNGUIA","1","UNIDAD"
"2013 Aug 09 12:00:00 AM","94","GUAINIA","94343","BARRANCOMINAS","2","UNIDAD"
"2013 Aug 09 12:00:00 AM","50","META","50325","MAPIRIPAN","2","UNIDAD"
"2013 Aug 09 12:00:00 AM","85","CASANARE","85139","MANI","1","UNIDAD"
"2013 Aug 09 12:00:00 AM","05","ANTIOQUIA","05660","SAN LUIS","1","UNIDAD"
"2013 Aug 09 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2013 Aug 09 12:00:00 AM","19","CAUCA","19050","ARGELIA","2","UNIDAD"
"2013 Aug 09 12:00:00 AM","27","CHOCO","27800","UNGUIA","30","UNIDAD"
"2013 Aug 09 12:00:00 AM","52","NARIÑO","52540","POLICARPA","1","UNIDAD"
"2013 Aug 08 12:00:00 AM","50","META","50370","URIBE","1","UNIDAD"
"2013 Aug 08 12:00:00 AM","66","RISARALDA","66001","PEREIRA","1","UNIDAD"
